id_hospital,latitude,longitude,name,zipcode,province,district,subdistrict,phone
1,13.6702781,100.5880094,โรงพยาบาลทหารเรือกรุงเทพ,10260,กรุงเทพมหานคร,เขตบางนา,แขวงบางนา,24752406
2,13.76732698,100.5341694,กองทัพบก โรงพยาบาลพระมงกุฎเกล้า,10400,กรุงเทพมหานคร,เขตราชเทวี,แขวงทุ่งพญาไท,27639300
3,13.90929413,100.6180191,โรงพยาบาลภูมิพลอดุลยเดช กรมแพทย์ทหารอากาศ,10220,กรุงเทพมหานคร,เขตสายไหม,แขวงคลองถนน,25347000
4,13.77195108,100.5515957,โรงพยาบาลทหารผ่านศึก,10400,กรุงเทพมหานคร,เขตพญาไท,แขวงสามเสนใน,26449400
5,13.85018103,100.5531203,กรมราชทัณฑ์ ทัณฑสถานโรงพยาบาลราชทัณฑ์,10900,กรุงเทพมหานคร,เขตจตุจักร,แขวงลาดยาว,29533999
6,13.81657131,100.6875488,กรมการแพทย์ โรงพยาบาลนพรัตนราชธานี,10230,กรุงเทพมหานคร,เขตคันนายาว,แขวงคันนายาว,25481000
7,13.72219731,100.5174514,กรมการแพทย์ โรงพยาบาลเลิดสิน,10500,กรุงเทพมหานคร,เขตบางรัก,แขวงสีลม,23539800
8,13.76184842,100.5264392,กรมการแพทย์ โรงพยาบาลสงฆ์,10400,กรุงเทพมหานคร,เขตราชเทวี,แขวงทุ่งพญาไท,26409537
9,13.76429939,100.5367966,กรมการแพทย์ โรงพยาบาลราชวิถี,10400,กรุงเทพมหานคร,เขตราชเทวี,แขวงทุ่งพญาไท,22062900
10,13.73061212,100.5084334,โรงพยาบาลตากสิน,10600,กรุงเทพมหานคร,เขตคลองสาน,แขวงคลองสาน,24370123
11,13.69394848,100.4942737,โรงพยาบาลเจริญกรุงประชารักษ์,10120,กรุงเทพมหานคร,เขตบางคอแหลม,แขวงบางคอแหลม,22897000
12,13.655678,100.3453,โรงพยาบาลหลวงพ่อทวีศักดิ์ ชุตินธโรอุทิศ,10160,กรุงเทพมหานคร,เขตหนองแขม,แขวงหนองแขม,24293575
13,13.85621741,100.8591001,โรงพยาบาลเวชการุณรัศมิ์,10530,กรุงเทพมหานคร,เขตหนองจอก,แขวงกระทุ่มราย,29884100
14,13.73047701,100.366593,โรงพยาบาลราชพิพัฒน์,10160,กรุงเทพมหานคร,เขตบางแค,แขวงบางไผ่,24212222
15,13.717223,100.707305,โรงพยาบาลสิรินธร,10250,กรุงเทพมหานคร,เขตประเวศ,แขวงประเวศ,23286901
16,13.57280986,100.4227987,โรงพยาบาลผู้สูงอายุ บางขุนเทียน,10150,กรุงเทพมหานคร,เขตบางขุนเทียน,แขวงท่าข้าม,24527999
17,13.72218817,100.7839092,โรงพยาบาลลาดกระบัง กรุงเทพมหานคร,10520,กรุงเทพมหานคร,เขตลาดกระบัง,แขวงลาดกระบัง,23269995
18,13.91053009,100.753273,โรงพยาบาลคลองสามวา,10510,กรุงเทพมหานคร,เขตคลองสามวา,แขวงสามวาตะวันออก,21501300
19,13.74618296,100.5095318,โรงพยาบาลกลาง,10100,กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,แขวงป้อมปราบ,22208000
20,13.74414059,100.5391321,โรงพยาบาลตำรวจ,10330,กรุงเทพมหานคร,เขตปทุมวัน,แขวงปทุมวัน,22076000
21,13.6929121,100.4610591,ศูนย์การแพทย์ปฐมภูมิและการแพทย์ทางเลือกจอมทอง โรงพยาบาลตำรวจ,10150,กรุงเทพมหานคร,เขตจอมทอง,แขวงจอมทอง,24762643
22,13.72047371,100.5006298,ศูนย์บริการสาธารณสุข 28 กรุงธนบุรี,10600,กรุงเทพมหานคร,เขตคลองสาน,แขวงบางลำภูล่าง,28608210
23,13.8070289,100.847254,ศูนย์บริการสาธารณสุข 44 ลำผักชี หนองจอก,10530,กรุงเทพมหานคร,เขตหนองจอก,แขวงลำผักชี,29881633
24,13.7949325,100.4683414,ศูนย์บริการสาธารณสุข 49 วัดชัยพฤกษมาลา,10170,กรุงเทพมหานคร,เขตตลิ่งชัน,แขวงตลิ่งชัน,24249410
25,13.71051215,100.400466,ศูนย์บริการสาธารณสุข 40 บางแค,10160,กรุงเทพมหานคร,เขตบางแค,แขวงบางแคเหนือ,24553870
